=========================================================================
                          电力系统潮流计算报告
=========================================================================

节点数       PQ / PV / 平衡 / 合计      6 / 3 / 1 / 10
支路数       普通线路 / 变压器 / 合计      14 / 3 / 17
发电机数       调压厂 / 调频厂 / 合计      3 / 1 / 4
负荷数                                  5

计算方法: NR
迭代次数: 3

节点电压,功率

 id     电压      相角   发电机有功  发电机无功  负荷有功    负荷无功   补偿有功  补偿无功
  1    1.046    0.000   226.246   -110.063    0.000    0.000    0.000    0.000
  2    1.052   -1.299    0.000    0.000   149.500   22.750    0.000    0.000
  3    1.058   -1.261    0.000    0.000   146.250   19.500    0.000    0.000
  4    1.053   -1.478    0.000    0.000   162.500   48.750    0.000    0.000
  5    1.055   -1.412    0.000    0.000   260.000   65.000    0.000    0.000
  6    1.061   -1.060    0.000    0.000   136.500   16.250    0.000    0.000
  7    1.071   -0.224    0.000    0.000    0.000    0.000    0.000    0.000
  8    1.050    3.702   223.200   113.224    0.000    0.000    0.000    0.000
  9    1.050    3.702   223.200   113.224    0.000    0.000    0.000    0.000
  10    1.050    3.598   186.000   96.590    0.000    0.000    0.000    0.000
合计:                     858.646  212.974   854.750  172.250    0.000   0.000

线路功率

id from to    Pij      Qij        Pji      Qji        dP      dQ
  1  1  2   226.25   -110.06   -225.23   107.09    1.02   -2.97
  2  1  2   113.123   -55.031   -112.614   53.545    0.509   -1.486
  3  2  3   -27.18   -91.88   27.27   86.83    0.09   -5.06
  4  2  3   -13.592   -45.942   13.635   43.414    0.044   -2.528
  5  2  4   102.91   -37.96   -102.85   35.53    0.06   -2.42
  6  2  4   51.455   -18.978   -51.425   17.767    0.030   -1.211
  7  3  6   -173.52   -106.33   173.68   105.02    0.16   -1.31
  8  3  6   -86.760   -53.164   86.842   52.511    0.082   -0.653
  9  4  5   -59.65   -84.28   59.7   82.06    0.05   -2.23
  10  4  5   -29.825   -42.142   29.849   41.029    0.024   -1.113
  11  5  7   -319.7   -147.06   321.24   148.79    1.54    1.73
  12  5  7   -159.849   -73.529   160.618   74.393    0.769    0.864
  13  6  7   -310.18   -121.27   311.16   121.78    0.98    0.51
  14  6  7   -155.092   -60.636   155.582   60.890    0.490    0.254
  15  8  7   223.200   113.224   -223.200   -94.611    0.000   18.613
  16  9  7   223.200   113.224   -223.200   -94.611    0.000   18.613
  17  10  7   186.000   96.590   -186.000   -81.344    0.000   15.246
总线损    3.896   40.724

